연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2006,7,27,1,괴물,66715713300,0.075,10917153,647,113073,한국,한국,(주)쇼박스,2006-07-27T00:00:00Z
2005,12,29,2,왕의 남자,61605851900,0.069,9793917,313,106179,한국,한국,(주)시네마서비스,2005-12-29T00:00:00Z
2006,9,28,3,타짜,36180800700,0.0409999999999999,5685441,492,76872,한국,한국,CJ ENM,2006-09-28T00:00:00Z
2006,5,3,4,미션 임파서블 3,32154883400,0.036,5127003,441,72573,미국,미국,UIP코리아,2006-05-03T00:00:00Z
2006,1,19,5,투사부일체,31959686000,0.036,5074314,407,54339,한국,한국,CJ ENM,2006-01-19T00:00:00Z
2006,7,6,6,캐리비안의 해적 : 망자의 함,23832939000,0.027,3911617,456,49636,미국,미국,브에나비스타인터내셔널코리아,2006-07-06T00:00:00Z
2006,7,13,7,한반도,20597497600,0.023,3331593,483,49539,한국,한국,CJ ENM,2006-07-13T00:00:00Z
2006,12,14,8,미녀는 괴로워,18919439500,0.021,3224865,418,36689,한국,한국,(주)쇼박스,2006-12-14T00:00:00Z
2006,5,18,9,다빈치 코드,18873057800,0.021,3022936,514,42856,미국,미국,소니픽쳐스릴리징코리아,2006-05-18T00:00:00Z
2006,9,21,10,가문의 부활 - 가문의 영광3,15996330400,0.018,2598859,444,51434,한국,한국,(주)쇼박스,2006-09-21T00:00:00Z
2006,9,14,11,우리들의 행복한 시간,14938308000,0.017,2472035,414,47297,한국,한국,(주)프라임엔터테인먼트,2006-09-14T00:00:00Z
2006,12,21,12,박물관이 살아있다!,13344327300,0.015,2336453,345,22483,미국,미국,이십세기폭스코리아(주),2006-12-21T00:00:00Z
2006,5,31,13,포세이돈,14588094300,0.016,2316695,338,43841,미국,미국,워너브러더스 코리아(주),2006-05-31T00:00:00Z
2006,2,23,14,음란서생,14944528700,0.017,2304365,347,38964,한국,한국,CJ ENM,2006-02-23T00:00:00Z
2006,4,6,15,"달콤, 살벌한 연인",13426707100,0.015,2077590,246,38034,한국,한국,CJ ENM,2006-04-06T00:00:00Z
2006,4,26,16,맨발의 기봉이,12239242400,0.0139999999999999,2005180,271,39975,한국,한국,(주)쇼박스,2006-04-26T00:00:00Z
2006,6,15,17,비열한 거리,11664597600,0.013,1829887,306,34064,한국,한국,CJ ENM,2006-06-15T00:00:00Z
2006,6,15,18,엑스맨 : 최후의 전쟁,11275475200,0.013,1793310,373,38570,미국,미국,이십세기폭스코리아(주),2006-06-15T00:00:00Z
2006,4,27,19,사생결단,10934307100,0.012,1724709,288,33257,한국,한국,(주)씨제이이엔엠,2006-04-27T00:00:00Z
2006,6,28,20,수퍼맨 리턴즈,10825645300,0.012,1702765,366,29982,미국,미국,워너브러더스 코리아(주),2006-06-28T00:00:00Z
2006,2,16,21,구세주,10087308700,0.011,1621131,206,31939,한국,한국,쇼이스트(주),2006-02-16T00:00:00Z
2006,9,28,22,라디오 스타,9860721500,0.011,1590666,244,38926,한국,한국,(주)시네마서비스,2006-09-28T00:00:00Z
2006,3,23,23,청춘만화,9785168000,0.011,1567514,298,32939,한국,한국,(주)쇼박스,2006-03-23T00:00:00Z
